name,score
algo_16,85
algo_9,146
algo_10,133
algo_3,125
algo_8,195
algo_6,119
algo_11,94
algo_19,160
algo_2,198
algo_12,198
algo_15,137
algo_7,190
algo_5,215
algo_0,115
algo_18,164
algo_17,150
algo_4,124
algo_13,386
algo_14,106
algo_1,250
